2.1970 	WARNING 	The 'psychtoolbox' library cannot be loaded but is required for audio capture (use `pip install psychtoolbox` to get it). Microphone recording will be unavailable this session. Note that opening a microphone stream will raise an error.
2.2002 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
2.2004 	ERROR 	Support for the `pyo` audio backend is not available this session. Please install `psychopy-pyo` and restart the session to enable support.
2.2006 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['PTB', 'sounddevice', 'pyo', 'pygame'] (in that order).
2.2203 	INFO 	time is 2024-08-27 17:37:12,463673
2.2445 	WARNING 	Monitor specification not found. Creating a temporary one...
2.2522 	WARNING 	User requested fullscreen with size [1350  750], but screen is actually [1920, 1080]. Using actual size
3.4332 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

3.4335 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x16efb6250>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x16efb61f0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x16efb6040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x309c04dc0>, multiSample=False, name='window1', numSamples=2, pos=[480.0, 270.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=False, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.4336 	EXP 	window1: mouseVisible = True
3.4336 	EXP 	window1: backgroundImage = None
3.4337 	EXP 	window1: backgroundFit = 'cover'
3.4487 	INFO 	Mouse: using default window
3.4488 	EXP 	window1: mouseVisible = True
3.4497 	EXP 	window1: mouseVisible = False
3.4498 	EXP 	window1: units = 'pix'
3.4498 	INFO 	Mouse: using default window
3.6782 	WARNING 	t of last frame was 229.49ms (=1/4)
6.4525 	DATA 	Keypress: space
6.4585 	WARNING 	t of last frame was 2770.08ms (=1/0)
6.7130 	EXP 	window1: units = 'pix'
6.7131 	INFO 	Mouse: using default window
6.7408 	INFO 	Mouse: using default window
6.7588 	WARNING 	t of last frame was 300.21ms (=1/3)
9.9586 	DATA 	Keypress: return
10.0976 	WARNING 	t of last frame was 3338.87ms (=1/0)
10.1327 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
40.2070 	EXP 	window1: units = 'pix'
41.0968 	EXP 	window1: units = 'pix'
41.1008 	EXP 	window1: units = 'pix'
44.7749 	DATA 	Keypress: space
45.5063 	DATA 	Keypress: space
48.1658 	EXP 	Set  sound=./stim/P|G.mp3
48.1660 	EXP 	Sound  started
49.3028 	DATA 	Keypress: f
51.9538 	DATA 	Keypress: space
54.4767 	EXP 	Set  sound=./stim/P|G.mp3
54.4768 	EXP 	Sound  started
55.4548 	DATA 	Keypress: f
63.3509 	DATA 	Keypress: space
66.0497 	DATA 	Keypress: return
96.6276 	EXP 	window1: units = 'pix'
97.5218 	EXP 	window1: units = 'pix'
97.5250 	EXP 	window1: units = 'pix'
98.2469 	DATA 	Keypress: space
100.9011 	EXP 	Set  sound=./stim/G|P.mp3
100.9012 	EXP 	Sound  started
101.9588 	DATA 	Keypress: f
106.5946 	EXP 	Set  sound=./stim/G|P.mp3
106.5950 	EXP 	Sound  started
107.4790 	DATA 	Keypress: f
